id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
35791,MARKSTW,Alice and Marks,362,79095,48299,42953,0,18949,"19299,19300,19301,19302",START57
37553,PARTY2,Chef gives Party,363,52343,45630,41570,0,16180,"16760,16761,16762,16763",START38
39560,COMPLEXITY,Time Complexity,364,37126,33920,30352,0,20637,"20835,20836,20837,20838",NOV221
37846,AIRHOCKEY,Air Hockey,366,52665,42289,38199,0,16186,"17370,17371,17372,17373",START44
38018,INTRDSGN,Interior Design,373,47305,41104,37611,0,16925,"17629,17630,17631,17632",LTIME110
38422,TCKTFINE,Ticket Fine,373,58612,53701,48610,0,17583,"19141,19142,19143,19144",START54
38375,CARTRIP,Car Trip,374,65120,52070,47142,0,17582,"19129,19130,19131,19132",START53
40295,TABLETS,Multivitamin Tablets,376,32666,28534,26430,0,21612,"21619,21620,21621,21622",START73
36806,EMAILREM,Email Reminders,379,54635,48360,43333,0,14273,"14274,14275,14276,14277",COOK140
37267,SIXFRIENDS,Six Friends,382,57505,48662,44791,0,15979,"15980,15981,15982,15983",APRIL222
37368,CWIREFRAME,Chef and Wire Frames,383,55864,48691,44563,0,18951,"19205,19206,19207,19208",SEP221
38002,MINCOINSREQ,Minimum Coins,390,46650,41485,38042,0,16920,"17574,17575,17576,17577",START47
39964,KITCHENSPICE,Spice Level,390,41723,32625,28434,0,21433,"21443,21444,21445,21446",START70
41657,REACH_HOME,Reach Home,395,29092,25919,24674,0,22094,"22499,22500,22501,22502",START82
38033,TFPAPER,True and False Paper,398,40735,38352,35084,1,16925,"17629,17630,17631,17632",LTIME110
36883,CABS,The Cheaper Cab,399,228823,126014,102506,0,14287,"14283,14284,14285,14286",START33
37732,ADVANCE,Rating Improvement,400,81323,51651,45414,0,16195,"17003,17004,17005,17006",COOK142
38119,DISCNT,Discount,401,69240,57470,50757,0,17579,"18663,18664,18665,18666",START50
38348,HEIGHTRATION,Height of Rationals,405,53635,47207,42393,0,17585,"18746,18747,18748,18749",LTIME111
36711,CCHOCOLATES,Chef and Chocolates,405,58348,49932,44146,1,16183,"16973,16974,16975,16976",START41
40047,INSTAGRAM,Instagram,408,64528,43506,37308,0,21434,"21447,21448,21449,21450",START71
36646,VOLCONTROL,Volume Control,409,138192,97633,81675,0,14045,"14046,14047,14048,14049",START32
2980,HS08TEST,ATM,410,1459664,457872,316904,0,-1,[-1],
38064,HOTCOLD,Is it hot or cold,410,85203,59672,51245,0,16922,"18385,18386,18387,18388",START49
37538,FOOTCUP,Football Cup,412,78727,49297,44008,0,16188,"16756,16757,16758,16759",MAY221
40831,PROINC,Profit Increment,414,27553,24107,22667,0,21614,"21627,21628,21629,21630",START75
35540,FBC,Fill the Bucket,419,70111,57688,51508,0,14015,"14016,14017,14018,14019",START29
10883,FLOW002,Find Remainder,421,338822,264818,219925,0,-1,[-1],
